Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
12:19:08.073,(15.98266,10.01634),179.7408,(16.00531,-35.01165),0.8538812
12:19:09.287,(16.08076,9.619478),84.55724,(16.26767,-35.17261),70.51623
12:19:09.457,(16.63552,8.883709),106.5685,(17.21934,-35.26956),54.13884
12:19:09.469,(17.2062,8.241424),131.0431,(18.05318,-35.01023),46.2062
12:19:09.586,(17.58532,7.406371),152.5052,(18.92519,-34.59421),36.34832
12:19:09.689,(17.71575,6.548484),142.0326,(19.67585,-34.1382),10.00375
12:19:09.850,(17.81442,5.556544),154.5629,(20.46223,-33.4968),6.330517
12:19:09.860,(17.80218,4.801273),179.8403,(21.037,-33.00401),18.98895
12:19:09.967,(17.3754,3.866795),201.2424,(21.90979,-32.27644),27.80594
12:19:10.073,(16.70807,3.383656),227.7681,(22.59896,-31.72461),29.27068
12:19:10.174,(16.1833,3.09269),240.8857,(22.63034,-30.90203),353.8027
12:19:10.263,(15.46113,3.104772),249.7313,(22.1332,-30.20222),348.0661
12:19:10.372,(14.18051,3.826818),262.9558,(20.96549,-29.28932),351.946
12:19:10.467,(12.64348,5.103856),254.2585,(19.17885,-28.37285),344.9639
12:19:10.573,(11.52948,6.029434),229.8402,(18.06244,-27.65852),334.2154
12:19:10.663,(10.88603,6.525055),207.8978,(18.15481,-26.81136),337.3204
12:19:10.774,(11.06331,6.218127),208.6478,(18.19658,-25.81623),4.293432
12:19:10.865,(11.60066,5.572925),194.1885,(18.36503,-24.96497),11.03604
12:19:10.977,(12.17254,4.816657),161.9066,(18.6447,-23.99907),354.7947
12:19:11.067,(12.88459,4.821042),138.1963,(18.91673,-23.1625),338.6463
12:19:11.155,(13.73123,4.877252),159.8152,(19.13675,-22.31079),359.147
12:19:11.254,(14.711,4.802614),155.6992,(19.44652,-21.35245),0.9987957
12:19:11.350,(15.52114,4.848241),138.5536,(19.74985,-20.52439),354.3199
12:19:11.455,(16.32813,3.606293),141.4999,(20.75977,-18.86891),351.9923
12:19:11.645,(16.82945,2.539819),154.3337,(21.95557,-17.18094),352.5422
12:19:11.654,(17.14128,2.81537),159.8189,(22.52409,-16.37842),338.7375
12:19:11.825,(18.05198,3.094715),169.274,(22.43325,-15.50261),332.8444
12:19:11.911,(18.87359,3.037021),158.5068,(21.74819,-14.94011),317.2687
12:19:12.001,(19.63276,2.6129),187.124,(20.82848,-14.50946),343.575
12:19:12.095,(20.22643,2.215582),186.4558,(20.03751,-14.11193),355.1529
12:19:12.188,(20.79446,1.452696),164.086,(19.20689,-13.55179),347.4235
12:19:12.285,(21.31038,0.7698263),175.4512,(18.50224,-13.00572),26.21274
12:19:12.374,(21.90698,0.08985426),204.065,(17.87033,-12.26063),23.82478
12:19:12.486,(21.36136,-0.3481444),214.2505,(17.5798,-11.48796),8.551221
12:19:12.588,(20.69966,-0.8075074),200.6279,(17.19503,-10.56555),17.79136
12:19:12.687,(19.25925,-1.804803),203.4307,(16.20325,-9.111173),19.94054
12:19:12.784,(17.53271,-2.842607),223.9681,(14.92507,-7.578413),52.99515
12:19:12.871,(16.59523,-3.406117),220.4283,(14.23147,-6.746664),70.06623
12:19:12.981,(15.77776,-3.810316),217.3315,(14.62582,-6.818391),80.40699
12:19:13.074,(15.51213,-4.055071),224.0732,(15.38113,-7.274246),89.05685
12:19:13.184,(15.28323,-3.848516),241.1714,(16.17492,-7.906992),104.0109
12:19:13.271,(14.98247,-3.418233),236.2051,(16.67299,-8.631836),90.90596
12:19:13.374,(14.26533,-3.542966),239.2935,(17.30559,-9.404903),88.32055
12:19:13.466,(13.74106,-3.835534),231.337,(17.96688,-9.978671),74.61959
12:19:13.565,(12.85574,-4.088972),218.3943,(18.81726,-10.51812),52.36674
12:19:13.648,(12.27123,-4.344352),210.5635,(19.50192,-10.74898),36.58201
12:19:13.832,(11.51293,-5.617389),184.2613,(19.18666,-8.439381),344.6117
