Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
14:44:28.532,(15.98266,10.01634),179.7408,(15.99916,-35.02529),359.8447
14:44:29.623,(15.77303,9.978216),166.8746,(16.23057,-35.04539),338.7794
14:44:29.805,(15.72564,9.174419),165.6521,(16.71124,-34.37589),342.4762
14:44:29.831,(15.93399,8.338502),165.9263,(17.02579,-33.58028),349.5848
14:44:29.906,(16.37483,7.582037),160.7774,(17.4198,-32.79328),353.8579
14:44:29.980,(17.06515,7.067409),140.9263,(17.78797,-32.05051),334.5994
14:44:30.186,(18.00709,6.706326),142.8192,(18.08212,-31.12207),330.5719
14:44:30.248,(18.79964,6.338234),155.3049,(18.28607,-30.35629),345.0221
14:44:30.308,(19.69237,5.933754),181.0869,(18.65997,-29.66144),356.7912
14:44:30.372,(20.25887,5.445293),193.5094,(19.24748,-29.20336),18.49324
14:44:30.486,(21.08121,5.00276),183.1078,(19.97584,-28.56629),11.52405
14:44:30.576,(21.79557,4.584418),195.2216,(20.70382,-27.87844),11.86676
14:44:30.702,(21.30593,3.199068),209.1191,(21.51912,-27.36423),26.45532
14:44:30.778,(20.67986,1.546169),190.8705,(22.09403,-26.96111),17.62596
14:44:30.886,(20.12917,0.09227212),146.7392,(22.5384,-25.86387),348.2806
14:44:31.021,(20.09327,-0.8085889),137.7742,(23.52446,-24.47638),347.3593
14:44:31.088,(20.79769,-1.330976),154.9551,(24.08827,-23.71551),7.39315
14:44:31.171,(21.5169,-1.804608),170.0716,(24.52932,-22.99555),8.656878
14:44:31.289,(22.13757,-2.711113),169.1118,(24.82663,-21.9858),348.8631
14:44:31.400,(22.16811,-3.592499),167.9234,(25.15769,-21.30759),332.5033
14:44:31.491,(21.96358,-4.440078),204.4858,(25.06548,-20.66634),353.5678
14:44:31.577,(21.42093,-5.286088),211.068,(25.00095,-20.36893),6.871637
14:44:31.675,(20.92142,-6.005202),199.571,(24.71072,-20.51995),358.5693
14:44:31.794,(19.90163,-7.290972),191.142,(24.5328,-20.67081),2.566994
14:44:31.908,(18.76508,-8.001489),187.3763,(24.90629,-20.73428),11.00647
14:44:32.010,(17.89739,-8.549379),171.4926,(25.33062,-20.53153),13.24261
14:44:32.133,(17.52396,-9.273715),159.3342,(24.49578,-20.6456),25.14443
14:44:32.202,(17.89674,-10.05249),124.3954,(23.71029,-20.78991),16.11885
14:44:32.293,(18.50494,-10.56432),137.9591,(22.94586,-20.8699),15.51983
14:44:32.398,(19.29495,-11.16567),159.6653,(21.97155,-20.86934),0.04578082
14:44:32.508,(19.92324,-11.8537),151.7259,(21.11154,-20.6733),337.6244
14:44:32.573,(20.2734,-12.65087),181.6971,(20.49058,-20.1184),0.6172018
14:44:32.703,(20.12634,-13.60718),182.9173,(19.95148,-19.40567),1.43025
14:44:32.813,(19.64085,-14.28154),182.0358,(19.75126,-20.97239),7.773209
14:44:32.905,(18.98145,-14.97204),160.5904,(19.60835,-22.86764),348.3656
14:44:32.987,(17.88128,-14.99132),182.4059,(19.53194,-23.89499),6.993648
14:44:33.093,(16.25231,-14.48258),184.8341,(19.1354,-24.41531),20.65383
14:44:33.203,(15.09699,-14.12461),170.0673,(19.33788,-24.31782),15.51826
14:44:33.292,(14.31364,-14.15838),148.032,(21.01663,-22.96551),11.70865
14:44:33.378,(14.67198,-14.15241),122.439,(22.43621,-21.81557),15.09481
14:44:33.486,(15.49543,-13.73767),128.8554,(23.29914,-21.12316),10.05427
14:44:33.604,(16.13958,-13.30696),128.1447,(23.90541,-20.63408),344.1699
14:44:33.722,(16.96335,-12.75852),113.8873,(24.15641,-19.91544),326.5785
14:44:33.790,(17.59888,-12.15982),124.368,(23.61322,-20.24921),314.8215
14:44:33.884,(18.2811,-11.67417),136.2896,(23.40335,-20.42241),312.6509
14:44:33.995,(19.15475,-11.30954),138.2842,(23.88803,-20.57924),320.0356
14:44:34.096,(20.24473,-11.0479),119.5994,(24.09604,-20.77067),319.9384
14:44:34.206,(22.61667,-10.9822),147.0936,(23.56197,-21.37632),336.0906
14:44:34.301,(24.08234,-10.94157),188.1679,(23.07439,-22.07171),343.2852
14:44:34.370,(24.80658,-10.86623),207.8363,(22.7958,-22.75423),0.709643
14:44:34.496,(24.09763,-10.91496),172.2134,(22.80727,-23.50934),336.064
14:44:34.573,(23.2846,-11.22615),195.9084,(23.29534,-22.4026),340.8932
14:44:34.690,(22.43175,-11.70193),162.377,(23.72742,-20.485),315.1867
14:44:34.766,(21.95542,-12.20057),165.1233,(23.93129,-19.58018),303.5181
