Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
11:54:58.470,(15.98266,10.01634),179.7408,(16.00531,-35.01165),0.8538812
11:54:59.755,(15.78582,9.587225),124.7991,(15.83317,-35.13623),145.6699
11:54:59.914,(15.67777,8.605599),137.2329,(15.74108,-35.91037),142.514
11:54:59.928,(15.76425,7.728975),150.399,(15.99905,-36.68702),142.3233
11:55:00.061,(16.00672,6.798593),156.665,(16.23345,-37.38467),139.2199
11:55:00.151,(16.47097,6.062849),133.93,(16.5975,-37.98045),110.632
11:55:00.271,(17.32747,5.541109),124.6952,(17.39213,-38.0596),82.77294
11:55:00.360,(18.14907,5.340264),135.1768,(18.06439,-37.75482),75.82424
11:55:00.480,(19.15622,5.291874),150.8401,(18.27025,-36.96872),70.49053
11:55:00.570,(19.9726,4.986136),176.6568,(18.36799,-36.61398),80.08725
11:55:00.691,(20.82092,4.565185),185.7682,(18.32588,-35.75554),68.87611
11:55:00.703,(21.01261,4.135111),198.5594,(18.21656,-35.11687),56.23481
11:55:00.817,(20.52977,3.046817),202.1366,(18.52935,-34.04873),55.17643
11:55:00.943,(20.81618,0.685437),178.6712,(18.98092,-31.68309),41.47953
11:55:01.062,(20.99189,-0.7633407),156.4322,(19.25815,-30.23077),9.668544
11:55:01.178,(21.21119,-1.604566),146.1415,(19.4725,-29.39273),10.17971
11:55:01.267,(21.87727,-2.352965),162.7686,(19.75784,-28.44501),30.78465
11:55:01.369,(22.37781,-3.035886),185.2712,(20.05809,-27.62811),23.27845
11:55:01.464,(22.52104,-4.006545),180.6089,(20.3145,-26.67603),3.404033
11:55:01.562,(22.30058,-4.860283),179.7563,(20.69533,-25.9076),356.2672
11:55:01.653,(21.93102,-5.785996),216.7685,(20.96235,-24.96838),20.05763
11:55:01.755,(21.61838,-6.603609),205.0988,(21.20403,-24.12612),16.32183
11:55:01.845,(21.56271,-7.607394),166.535,(21.62048,-23.25635),6.604891
11:55:01.955,(20.77051,-9.189386),178.1337,(22.99929,-22.24422),9.648932
11:55:02.064,(19.61353,-10.91346),167.1074,(24.77443,-21.26638),358.5536
11:55:02.168,(18.98841,-11.84499),132.9368,(25.48001,-21.09752),353.113
11:55:02.260,(19.3499,-12.27587),119.228,(25.4853,-21.24675),5.215023
11:55:02.376,(20.23917,-12.31176),105.6104,(25.24109,-21.61438),0.1033385
11:55:02.473,(21.14235,-12.03549),115.7468,(24.91929,-22.08921),16.4034
11:55:02.578,(21.96796,-11.75649),124.1277,(24.39838,-22.60537),18.57644
11:55:02.681,(22.94561,-11.71035),116.0234,(24.14193,-22.49418),3.620185
11:55:02.925,(23.78353,-11.9507),130.3703,(24.16747,-21.66832),4.539129
11:55:02.957,(24.36876,-12.66439),180.3989,(24.12412,-20.77752),22.01477
11:55:03.140,(24.31806,-13.45325),203.1076,(24.259,-20.14036),27.14237
11:55:03.262,(23.37807,-14.37963),184.8586,(23.65868,-19.7639),23.41512
11:55:03.271,(22.41731,-15.51481),167.1908,(23.5075,-18.63004),13.12163
11:55:03.394,(21.70821,-16.37083),117.4862,(23.90917,-18.11714),313.2496
11:55:03.506,(21.23007,-17.09843),145.2236,(23.49817,-18.27511),315.8177
