Timestamp,(Position_Blue_X,Position_Blue_Y),Rotation_Blue,(Position_Purple_X,Position_Purple_Y),Rotation_Purple
14:47:38.097,(15.98266,10.01634),179.7408,(15.99916,-35.02529),359.8447
14:47:39.032,(16.19439,10.31342),278.4042,(15.92596,-35.10382),69.05771
14:47:39.227,(16.13311,11.04437),264.5417,(16.57865,-34.85325),53.16567
14:47:39.254,(15.53937,11.5687),251.5828,(17.26094,-34.33836),51.01993
14:47:39.327,(15.11798,11.93193),228.8247,(17.92925,-33.76603),44.97816
14:47:39.400,(15.48523,11.62766),188.1603,(18.45416,-33.10521),19.36661
14:47:39.507,(16.28153,11.27479),165.0847,(18.83465,-32.33408),5.000989
14:47:39.619,(17.20452,10.88909),173.6082,(19.16476,-31.4384),17.15834
14:47:39.721,(18.02441,10.59997),178.3255,(19.22086,-30.78206),11.6261
14:47:39.799,(18.86103,10.09363),199.4063,(20.01207,-30.42143),34.94665
14:47:39.919,(19.69858,9.567229),186.7221,(20.76156,-29.8917),34.04119
14:47:39.989,(20.37838,9.265553),178.8667,(21.33293,-29.41677),33.2664
14:47:40.108,(21.50246,8.688796),177.79,(22.22008,-29.12955),41.90624
14:47:40.202,(23.16063,7.398271),159.3187,(23.07337,-28.97259),28.05932
14:47:40.333,(24.16009,6.257908),161.3771,(24.61752,-28.83384),1.743755
14:47:40.425,(24.40539,5.459552),182.6784,(26.63785,-29.15264),352.5973
14:47:40.551,(24.1358,4.563305),216.6829,(28.07672,-29.37972),10.88369
14:47:40.607,(23.51574,4.146877),229.0727,(28.79946,-29.42213),10.57952
14:47:40.723,(22.43696,3.763444),204.3622,(29.56666,-28.89729),348.3057
14:47:40.795,(21.71947,3.505143),186.1879,(30.14661,-28.54774),333.7331
14:47:40.974,(20.67591,3.03251),207.0195,(30.65361,-27.80842),352.3983
14:47:41.059,(19.91935,2.633902),195.0721,(30.91477,-26.99983),350.6245
14:47:41.129,(19.14676,1.982962),162.8453,(31.04671,-26.10703),325.294
14:47:41.190,(18.40492,0.7825722),157.7086,(31.06845,-25.39529),325.7641
14:47:41.310,(17.31395,-1.003022),148.5277,(31.21089,-24.44482),330.7954
14:47:41.391,(16.72667,-1.964215),133.5842,(31.34291,-22.87583),322.5916
14:47:41.502,(16.73482,-2.265622),130.7661,(31.49574,-20.74363),322.8505
14:47:41.608,(17.57961,-1.965607),124.6478,(31.58919,-19.43962),310.2359
14:47:41.722,(18.46142,-1.836331),147.6492,(31.57827,-18.48438),322.5705
