Timestamp,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
16:40:50.895,S,0,0,3,3
16:40:53.010,PurplePickedUpBall,0,1,3,3
16:40:53.257,BluePickedUpBall,1,1,3,3
16:40:53.496,PurpleDash,1,1,3,3
16:40:53.496,BlueDash,1,1,3,3
16:40:53.499,BluePickedUpBall,2,1,3,3
16:40:53.720,BluePickedUpBall,3,1,3,3
16:40:54.424,PurpleThrewBall,3,0,3,3
16:40:54.530,PurpleDash,3,0,3,3
16:40:54.531,BlueDash,3,0,3,3
16:40:54.990,BluePickedUpBall,4,0,3,3
16:40:55.231,BlueThrewBall,3,0,3,3
16:40:55.655,BlueDash,3,0,3,3
16:40:55.656,BluePickedUpBall,4,0,3,3
16:40:55.754,PurpleDash,4,0,3,3
16:40:56.771,BlueDash,4,0,3,3
16:40:56.879,PurpleDash,4,0,3,3
16:40:56.881,PurplePickedUpBall,4,1,3,3
16:40:57.008,BlueThrewBall,3,1,3,3
16:40:57.111,PurpleThrewBall,3,0,3,3
16:40:57.116,BluePickedUpBall,4,0,3,3
16:40:57.264,BlueThrewBall,3,0,3,3
16:40:57.844,BlueThrewBall,2,0,3,3
16:40:57.844,BlueDash,2,0,3,3
16:40:57.849,HitPurple,2,0,3,2
16:40:58.205,BlueThrewBall,1,0,3,2
16:40:58.217,HitPurple,1,0,3,1
16:40:58.567,PurpleDash,1,0,3,1
16:40:58.898,BlueDash,1,0,3,1
16:40:59.634,PurpleDash,1,0,3,1
16:40:59.982,BlueDash,1,0,3,1
16:41:00.117,BlueThrewBall,0,0,3,1
16:41:00.124,HitPurple,0,0,3,0
16:41:00.125,GameEnd,0,0,3,0
16:41:00.126,ResetScene,0,0,3,3
16:41:00.751,PurpleDash,0,0,3,3
16:41:01.694,BlueDash,0,0,3,3
16:41:02.585,PurpleDash,0,0,3,3
16:41:02.861,BlueDash,0,0,3,3
16:41:02.863,BluePickedUpBall,1,0,3,3
16:41:03.222,BluePickedUpBall,2,0,3,3
16:41:03.463,BluePickedUpBall,3,0,3,3
16:41:04.178,PurpleDash,3,0,3,3
16:41:04.178,BlueDash,3,0,3,3
16:41:04.284,PurplePickedUpBall,3,1,3,3
16:41:04.876,BluePickedUpBall,4,1,3,3
16:41:05.101,PurplePickedUpBall,4,2,3,3
16:41:05.330,PurpleThrewBall,4,1,3,3
16:41:05.331,BlueThrewBall,3,1,3,3
16:41:05.331,BlueDash,3,1,3,3
16:41:05.342,PurpleDash,3,1,3,3
16:41:05.344,HitPurple,3,1,3,2
16:41:05.577,PurpleThrewBall,3,0,3,2
16:41:05.949,BluePickedUpBall,4,0,3,2
16:41:06.205,BlueThrewBall,3,0,3,2
16:41:06.321,HitPurple,3,0,3,1
16:41:06.321,PurplePickedUpBall,3,1,3,1
16:41:06.449,PurpleThrewBall,3,0,3,1
16:41:06.450,BlueDash,3,0,3,1
16:41:06.558,BlueThrewBall,2,0,3,1
16:41:06.695,HitPurple,2,0,3,0
16:41:06.695,GameEnd,2,0,3,0
16:41:06.696,ResetScene,0,0,3,3
16:41:06.950,PurpleDash,0,0,3,3
16:41:07.465,BluePickedUpBall,1,0,3,3
16:41:07.562,BlueDash,1,0,3,3
16:41:08.083,PurpleDash,1,0,3,3
16:41:08.228,BluePickedUpBall,2,0,3,3
16:41:08.705,BlueDash,2,0,3,3
16:41:09.079,PurpleDash,2,0,3,3
16:41:09.199,BluePickedUpBall,3,0,3,3
16:41:09.701,BlueDash,3,0,3,3
16:41:09.926,PurplePickedUpBall,3,1,3,3
16:41:09.926,PurpleThrewBall,3,0,3,3
16:41:09.928,BluePickedUpBall,4,0,3,3
16:41:10.192,BlueThrewBall,3,0,3,3
16:41:10.209,PurplePickedUpBall,3,1,3,3
16:41:10.331,HitPurple,3,1,3,2
16:41:10.698,PurpleDash,3,1,3,2
16:41:11.006,BlueDash,3,1,3,2
16:41:11.498,PurplePickedUpBall,3,2,3,2
16:41:11.761,BlueThrewBall,2,2,3,2
16:41:11.772,HitPurple,2,2,3,1
16:41:11.898,PurplePickedUpBall,2,3,3,1
16:41:12.165,PurpleDash,2,3,3,1
16:41:12.175,BlueDash,2,3,3,1
16:41:12.290,BlueThrewBall,1,3,3,1
16:41:12.445,PurpleThrewBall,1,2,3,1
16:41:12.704,PurpleThrewBall,1,1,3,1
16:41:12.704,BlueThrewBall,0,1,3,1
16:41:12.832,HitBlue,0,1,2,1
16:41:13.241,BlueDash,0,1,2,1
16:41:13.358,PurpleDash,0,1,2,1
16:41:13.629,PurplePickedUpBall,0,2,2,1
16:41:14.152,PurpleThrewBall,0,1,2,1
16:41:14.531,PurpleThrewBall,0,0,2,1
16:41:14.532,PurpleDash,0,0,2,1
16:41:14.532,BlueDash,0,0,2,1
16:41:15.793,BlueDash,0,0,2,1
16:41:15.912,PurpleDash,0,0,2,1
16:41:16.898,BlueDash,0,0,2,1
16:41:16.900,BluePickedUpBall,1,0,2,1
16:41:17.318,PurpleDash,1,0,2,1
16:41:17.586,BluePickedUpBall,2,0,2,1
16:41:17.719,BluePickedUpBall,3,0,2,1
16:41:17.977,BlueDash,3,0,2,1
16:41:18.107,BluePickedUpBall,4,0,2,1
16:41:18.373,PurpleDash,4,0,2,1
16:41:19.177,BlueDash,4,0,2,1
16:41:19.538,PurpleDash,4,0,2,1
16:41:20.165,BlueDash,4,0,2,1
16:41:20.631,PurpleDash,4,0,2,1
16:41:21.366,BlueDash,4,0,2,1
16:41:21.964,PurpleDash,4,0,2,1
16:41:22.461,BlueDash,4,0,2,1
16:41:23.368,PurpleDash,4,0,2,1
16:41:23.599,BlueDash,4,0,2,1
16:41:24.669,PurpleDash,4,0,2,1
16:41:24.944,BlueDash,4,0,2,1
16:41:25.872,PurpleDash,4,0,2,1
16:41:26.017,BlueDash,4,0,2,1
16:41:26.868,PurpleDash,4,0,2,1
16:41:27.350,BlueDash,4,0,2,1
16:41:27.968,PurplePickedUpBall,4,1,2,1
16:41:27.969,PurpleDash,4,1,2,1
16:41:28.489,BlueDash,4,1,2,1
16:41:29.043,PurpleDash,4,1,2,1
16:41:29.055,PurplePickedUpBall,4,2,2,1
16:41:29.445,PurpleThrewBall,4,1,2,1
16:41:29.590,BlueDash,4,1,2,1
16:41:29.897,PurpleThrewBall,4,0,2,1
16:41:30.163,PurpleDash,4,0,2,1
16:41:30.551,BlueDash,4,0,2,1
16:41:31.300,PurpleDash,4,0,2,1
16:41:31.875,BlueDash,4,0,2,1
16:41:32.420,BlueThrewBall,3,0,2,1
16:41:32.837,PurpleDash,3,0,2,1
16:41:35.009,BlueThrewBall,2,0,2,1
16:41:35.010,BlueDash,2,0,2,1
16:41:35.295,BlueThrewBall,1,0,2,1
16:41:35.538,HitPurple,1,0,2,0
16:41:35.540,GameEnd,1,0,2,0
16:41:35.543,ResetScene,0,0,3,3
16:41:35.784,PurpleDash,0,0,3,3
16:41:36.533,BlueDash,0,0,3,3
16:41:37.235,PurpleDash,0,0,3,3
16:41:37.252,BluePickedUpBall,1,0,3,3
16:41:37.253,PurplePickedUpBall,1,1,3,3
16:41:37.986,PurpleThrewBall,1,0,3,3
16:41:37.989,PurplePickedUpBall,1,1,3,3
16:41:38.195,BlueDash,1,1,3,3
16:41:38.218,BluePickedUpBall,2,1,3,3
16:41:39.258,PurpleDash,2,1,3,3
16:41:39.465,PurplePickedUpBall,2,2,3,3
16:41:39.467,PurplePickedUpBall,2,3,3,3
16:41:39.791,PurpleThrewBall,2,2,3,3
16:41:39.800,HitBlue,2,2,2,3
16:41:40.135,BlueDash,2,2,2,3
16:41:40.413,BlueThrewBall,1,2,2,3
16:41:40.425,PurpleThrewBall,1,1,2,3
16:41:40.427,HitBlue,1,1,1,3
16:41:40.608,BlueThrewBall,0,1,1,3
16:41:40.609,PurplePickedUpBall,0,2,1,3
16:41:40.753,HitPurple,0,2,1,2
16:41:40.767,PurpleThrewBall,0,1,1,2
16:41:40.774,HitBlue,0,1,0,2
16:41:40.775,GameEnd,0,1,0,2
16:41:40.776,ResetScene,0,0,3,3
16:41:41.719,PurpleDash,0,0,3,3
16:41:41.756,BlueDash,0,0,3,3
16:41:42.797,BluePickedUpBall,1,0,3,3
16:41:42.950,PurpleDash,1,0,3,3
16:41:42.951,BlueDash,1,0,3,3
16:41:42.955,PurplePickedUpBall,1,1,3,3
16:41:42.956,BluePickedUpBall,2,1,3,3
16:41:43.101,PurpleThrewBall,2,0,3,3
16:41:43.270,BluePickedUpBall,3,0,3,3
16:41:43.769,BluePickedUpBall,4,0,3,3
16:41:44.863,PurpleDash,4,0,3,3
16:41:44.863,BlueDash,4,0,3,3
16:41:46.549,PurpleDash,4,0,3,3
16:41:46.550,BlueDash,4,0,3,3
16:41:47.169,PurplePickedUpBall,4,1,3,3
16:41:47.522,PurplePickedUpBall,4,2,3,3
16:41:47.734,BlueDash,4,2,3,3
16:41:48.229,PurpleThrewBall,4,1,3,3
16:41:48.229,PurpleDash,4,1,3,3
16:41:49.044,PurpleThrewBall,4,0,3,3
16:41:49.045,BlueThrewBall,3,0,3,3
16:41:49.310,BlueDash,3,0,3,3
16:41:49.321,BlueThrewBall,2,0,3,3
16:41:49.576,PurpleDash,2,0,3,3
16:41:50.356,BlueDash,2,0,3,3
16:41:50.717,PurpleDash,2,0,3,3
16:41:51.231,BlueThrewBall,1,0,3,3
16:41:51.350,HitPurple,1,0,3,2
16:41:51.479,BlueDash,1,0,3,2
16:41:51.481,BluePickedUpBall,2,0,3,2
16:41:51.869,PurpleDash,2,0,3,2
16:41:51.993,BlueThrewBall,1,0,3,2
16:41:51.997,HitPurple,1,0,3,1
16:41:52.245,BlueThrewBall,0,0,3,1
16:41:52.249,BluePickedUpBall,1,0,3,1
16:41:52.495,BlueThrewBall,0,0,3,1
16:41:52.621,BlueDash,0,0,3,1
16:41:52.982,PurpleDash,0,0,3,1
16:41:53.625,BlueDash,0,0,3,1
16:41:54.009,PurpleDash,0,0,3,1
16:41:55.071,BlueDash,0,0,3,1
16:41:55.403,PurpleDash,0,0,3,1
16:41:56.769,BlueDash,0,0,3,1
16:41:59.248,PurpleDash,0,0,3,1
16:42:02.086,BlueDash,0,0,3,1
16:42:02.838,PurpleDash,0,0,3,1
16:42:03.196,BluePickedUpBall,1,0,3,1
16:42:03.415,BlueDash,1,0,3,1
16:42:04.498,PurplePickedUpBall,1,1,3,1
16:42:05.003,PurpleDash,1,1,3,1
