,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives
0,0.0,S,0,0,3,3
1,0.0,ResetScene,0,0,3,3
2,1.738,BluePickedUpBall,1,0,3,3
3,1.857,BluePickedUpBall,2,0,3,3
4,1.953,PurplePickedUpBall,2,1,3,3
5,2.148,BlueThrewBall,1,1,3,3
6,2.259,PurpleDash,1,1,3,3
7,2.26,BlueDash,1,1,3,3
8,3.342,PurpleDash,1,1,3,3
9,3.342,BlueDash,1,1,3,3
10,4.069,PurplePickedUpBall,1,2,3,3
11,4.076,BlueThrewBall,0,2,3,3
12,4.264,PurplePickedUpBall,0,3,3,3
13,4.374,PurplePickedUpBall,0,4,3,3
14,4.573,PurpleDash,0,4,3,3
15,4.574,BlueDash,0,4,3,3
16,5.621,PurpleDash,0,4,3,3
17,5.72,BlueDash,0,4,3,3
18,5.817,BluePickedUpBall,1,4,3,3
19,6.121,BlueThrewBall,0,4,3,3
20,6.705,PurpleDash,0,4,3,3
21,6.998,BlueDash,0,4,3,3
22,7.774,PurpleDash,0,4,3,3
23,8.353,BlueDash,0,4,3,3
24,8.744,PurpleThrewBall,0,3,3,3
25,8.75,HitBlue,0,3,2,3
26,9.047,PurpleDash,0,3,2,3
27,9.246,PurpleThrewBall,0,2,2,3
28,9.55,PurpleThrewBall,0,1,2,3
29,9.551,BlueDash,0,1,2,3
30,9.552,HitBlue,0,1,1,3
31,9.737,PurplePickedUpBall,0,2,1,3
32,10.045,PurpleThrewBall,0,1,1,3
33,10.053,HitBlue,0,1,0,3
34,10.054,GameEnd,0,1,0,3
35,10.056,ResetScene,0,0,3,3
36,10.285,PurpleDash,0,0,3,3
37,10.669,BlueDash,0,0,3,3
38,11.338,PurpleDash,0,0,3,3
39,11.34,PurplePickedUpBall,0,1,3,3
40,12.137,BlueDash,0,1,3,3
41,12.336,PurplePickedUpBall,0,2,3,3
42,12.448,PurpleDash,0,2,3,3
43,12.657,BluePickedUpBall,1,2,3,3
44,12.947,PurplePickedUpBall,1,3,3,3
45,12.956,BlueThrewBall,0,3,3,3
46,13.065,HitPurple,0,3,3,2
47,13.186,BlueDash,0,3,3,2
48,13.525,PurpleDash,0,3,3,2
49,13.529,PurplePickedUpBall,0,4,3,2
50,13.652,PurpleThrewBall,0,3,3,2
51,13.844,BluePickedUpBall,1,3,3,2
52,14.045,PurpleThrewBall,1,2,3,2
53,14.046,BlueThrewBall,0,2,3,2
54,14.183,BluePickedUpBall,1,2,3,2
55,14.288,PurpleThrewBall,1,1,3,2
56,14.289,BlueDash,1,1,3,2
57,14.29,HitBlue,1,1,2,2
58,14.292,PurplePickedUpBall,1,2,2,2
59,14.511,BlueThrewBall,0,2,2,2
60,14.521,HitPurple,0,2,2,1
61,14.633,PurpleThrewBall,0,1,2,1
62,14.633,PurpleDash,0,1,2,1
63,15.362,BlueDash,0,1,2,1
64,15.655,PurpleThrewBall,0,0,2,1
65,15.663,PurpleDash,0,0,2,1
66,16.393,BlueDash,0,0,2,1
67,16.792,PurplePickedUpBall,0,1,2,1
68,16.8,PurpleDash,0,1,2,1
69,17.532,BlueDash,0,1,2,1
70,17.739,PurplePickedUpBall,0,2,2,1
71,17.934,PurpleDash,0,2,2,1
72,18.788,BlueDash,0,2,2,1
73,18.907,PurpleDash,0,2,2,1
74,19.11,PurpleThrewBall,0,1,2,1
75,19.122,HitBlue,0,1,1,1
76,19.863,BlueDash,0,1,1,1
77,19.976,PurpleDash,0,1,1,1
78,20.884,BlueDash,0,1,1,1
79,20.995,PurplePickedUpBall,0,2,1,1
80,21.093,PurpleDash,0,2,1,1
81,21.834,PurpleThrewBall,0,1,1,1
82,21.949,HitBlue,0,1,0,1
83,21.95,GameEnd,0,1,0,1
84,21.95,ResetScene,0,0,3,3
85,21.959,BlueDash,0,0,3,3
86,22.283,PurpleDash,0,0,3,3
87,22.842,PurplePickedUpBall,0,1,3,3
88,23.178,BlueDash,0,1,3,3
89,23.18,BluePickedUpBall,1,1,3,3
90,23.515,PurpleDash,1,1,3,3
91,23.611,PurplePickedUpBall,1,2,3,3
92,23.736,PurplePickedUpBall,1,3,3,3
93,24.188,PurplePickedUpBall,1,4,3,3
94,24.282,PurpleThrewBall,1,3,3,3
95,24.283,BlueThrewBall,0,3,3,3
96,24.287,BluePickedUpBall,1,3,3,3
97,24.394,BlueDash,1,3,3,3
98,24.5,PurplePickedUpBall,1,4,3,3
99,24.516,PurpleThrewBall,1,3,3,3
100,24.617,PurpleDash,1,3,3,3
101,24.617,BlueThrewBall,0,3,3,3
102,24.965,PurpleThrewBall,0,2,3,3
103,25.409,BlueDash,0,2,3,3
104,25.595,BluePickedUpBall,1,2,3,3
105,25.717,PurpleDash,1,2,3,3
106,25.941,BluePickedUpBall,2,2,3,3
107,26.376,BlueThrewBall,1,2,3,3
108,26.478,BlueDash,1,2,3,3
109,26.806,PurpleDash,1,2,3,3
110,27.704,BlueThrewBall,0,2,3,3
111,27.809,BlueDash,0,2,3,3
112,27.916,PurpleDash,0,2,3,3
113,28.134,PurpleThrewBall,0,1,3,3
114,28.352,PurplePickedUpBall,0,2,3,3
115,29.007,PurpleDash,0,2,3,3
116,29.008,BlueDash,0,2,3,3
117,29.529,PurplePickedUpBall,0,3,3,3
118,29.75,PurplePickedUpBall,0,4,3,3
119,30.106,PurpleDash,0,4,3,3
120,30.107,BlueDash,0,4,3,3
121,30.513,PurpleThrewBall,0,3,3,3
122,30.624,HitBlue,0,3,2,3
123,30.998,PurpleThrewBall,0,2,2,3
124,31.126,HitBlue,0,2,1,3
125,31.242,PurpleDash,0,2,1,3
126,31.242,BlueDash,0,2,1,3
127,31.38,PurpleThrewBall,0,1,1,3
128,31.486,HitBlue,0,1,0,3
129,31.487,GameEnd,0,1,0,3
130,31.487,ResetScene,0,0,3,3
131,32.405,PurpleDash,0,0,3,3
132,32.533,BlueDash,0,0,3,3
133,33.103,BluePickedUpBall,1,0,3,3
134,33.331,BluePickedUpBall,2,0,3,3
135,33.34,BluePickedUpBall,3,0,3,3
136,33.448,PurplePickedUpBall,3,1,3,3
137,33.564,PurpleDash,3,1,3,3
138,33.676,BlueDash,3,1,3,3
139,33.688,BluePickedUpBall,4,1,3,3
140,33.918,BlueThrewBall,3,1,3,3
141,34.281,BlueThrewBall,2,1,3,3
142,34.284,PurplePickedUpBall,2,2,3,3
143,34.509,PurpleThrewBall,2,1,3,3
144,34.52,PurplePickedUpBall,2,2,3,3
145,34.636,PurpleDash,2,2,3,3
146,34.637,BlueThrewBall,1,2,3,3
147,34.743,BlueDash,1,2,3,3
148,35.232,BlueThrewBall,0,2,3,3
149,35.332,PurpleThrewBall,0,1,3,3
150,35.457,PurplePickedUpBall,0,2,3,3
151,35.596,PurpleDash,0,2,3,3
152,35.708,PurpleThrewBall,0,1,3,3
153,35.718,HitBlue,0,1,2,3
154,35.823,BlueDash,0,1,2,3
155,36.855,PurpleDash,0,1,2,3
156,36.857,PurplePickedUpBall,0,2,2,3
157,36.865,PurpleThrewBall,0,1,2,3
158,36.97,HitBlue,0,1,1,3
159,37.103,BlueDash,0,1,1,3
160,37.556,PurpleThrewBall,0,0,1,3
161,37.561,HitBlue,0,0,0,3
162,37.562,GameEnd,0,0,0,3
163,37.563,ResetScene,0,0,3,3
164,38.165,PurpleDash,0,0,3,3
165,38.165,BlueDash,0,0,3,3
166,38.418,BluePickedUpBall,1,0,3,3
167,38.663,PurplePickedUpBall,1,1,3,3
168,39.285,BluePickedUpBall,2,1,3,3
169,39.293,PurpleDash,2,1,3,3
170,39.293,BlueDash,2,1,3,3
171,39.554,BlueThrewBall,1,1,3,3
172,39.715,PurplePickedUpBall,1,2,3,3
173,39.854,PurpleThrewBall,1,1,3,3
174,40.003,BluePickedUpBall,2,1,3,3
175,40.154,BlueThrewBall,1,1,3,3
176,40.168,PurpleThrewBall,1,0,3,3
177,40.178,HitBlue,1,0,2,3
178,40.312,PurplePickedUpBall,1,1,2,3
179,40.321,BlueThrewBall,0,1,2,3
180,40.42,HitPurple,0,1,2,2
181,40.423,PurpleThrewBall,0,0,2,2
182,40.423,PurpleDash,0,0,2,2
183,40.424,BlueDash,0,0,2,2
184,40.433,HitBlue,0,0,1,2
185,40.907,BluePickedUpBall,1,0,1,2
186,41.897,BlueThrewBall,0,0,1,2
187,42.48,PurpleDash,0,0,1,2
188,42.48,BlueDash,0,0,1,2
189,43.629,PurpleDash,0,0,1,2
190,43.629,BlueDash,0,0,1,2
191,45.213,PurpleDash,0,0,1,2
192,45.214,BlueDash,0,0,1,2
193,46.31,PurpleDash,0,0,1,2
194,46.31,BlueDash,0,0,1,2
195,47.277,BluePickedUpBall,1,0,1,2
196,47.395,PurpleDash,1,0,1,2
197,47.396,BlueDash,1,0,1,2
198,47.408,BlueThrewBall,0,0,1,2
199,47.663,BluePickedUpBall,1,0,1,2
200,48.071,BlueThrewBall,0,0,1,2
201,48.186,HitPurple,0,0,1,1
202,48.528,PurpleDash,0,0,1,1
203,48.528,BlueDash,0,0,1,1
204,49.403,PurplePickedUpBall,0,1,1,1
205,49.519,PurpleDash,0,1,1,1
206,49.519,BlueDash,0,1,1,1
